titre,categorie,sous_categorie,destination,lieu,url,prix_des,duree,age_min,niveau,politique_annulation,langues,point_de_rdv,comprend,ne_comprend_pas,a_prevoir,pre_requis,conditions_particulieres,organisateur,note,nb_avis,points_forts,resume,seo_title,slug,meta_description,image_url_1,image_url_2,image_url_3
Observation des dauphins et baleines à Saint‑Gilles‑les‑Bains,Eau,Observation des cétacés,Île de la Réunion,Lagon de Saint‑Gilles,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/lagon-de-saint-gilles/observation-des-cetaces/observation-des-dauphins-et-baleines-a-saint-gilles-les-bains-la-reunion/18537?_cid=1985,Dès 40 €,2 h,2 ans,Accessible à tous,Intermédiaire,français,Port de Saint‑Gilles‑les‑Bains – Ponton D,"Bateau, skipper/guide","Photos, boissons","Chapeau, crème solaire, eau, serviette",Arriver 15 min avant,Observation non garantie; baleines de juillet à début octobre,Cap Evasion 974,4.9/5,104,Sortie en petit comité; dauphins toute l’année; saison baleines,"Sortie bateau 2h au départ de Saint‑Gilles pour observer dauphins (toute l’année) et baleines en saison, avec skipper diplômé.",Observation des dauphins et baleines à Saint‑Gilles | La Réunion,observation-dauphins-baleines-saint-gilles-reunion,"Partez du port de Saint‑Gilles pour une croisière d’observation des cétacés. 2 h d’excursion, skipper diplômé. Baleines visibles de juillet à début octobre.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/c196d4abab3c1a0c17e32dc0fb18c8f1","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/wynndrzdmyxrcebzxi3a","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/so6vss0btmgpk928uz1x"
Vol en ULM multiaxe depuis Saint‑Paul (La Réunion),Air,U.L.M,Île de la Réunion,"Maïdo, Saint‑Paul",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/maido-saint-paul/u-l-m/vol-en-ulm-multiaxe-depuis-saint-paul-la-reunion/5252?_cid=1985,Dès 90 €,De 35 min à 50 min,NA,Accessible à tous,Flexible,"français, anglais",Aérodrome de Cambaie/La Montagne (confirmation après réservation),"Briefing, prêt de casque/équipement ULM",Photos/vidéos,"Lunettes de soleil, veste coupe‑vent",NA,Vols selon météo; itinéraire adapté,NA,4.8/5,≈60,Vues côte ouest; sensations de pilotage; petit port aérien,"Survolez la côte ouest en ULM multiaxe au départ de Saint‑Paul, avec itinéraires 35 à 50 minutes selon vos envies.",Vol ULM multiaxe à Saint‑Paul | Côte ouest de La Réunion,vol-ulm-multiaxe-saint-paul-reunion,"Envolez‑vous en ULM multiaxe depuis Saint‑Paul pour admirer le lagon et les reliefs de l’ouest. Vols de 35 à 50 min, selon météo. Annulation flexible.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/ce2e07b1b6a74e0f84e2b6e0653c658c","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/4f9abcaacfa223b51deb165a53c66900","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/7e9a32b8d3fed50815f08d2a1e58be28"
Descente VTT du Piton Maïdo (La Réunion),Terre,VTT,Île de la Réunion,"Maïdo, Saint‑Paul",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/maido-saint-paul/vtt/descente-vtt-du-piton-maido-la-reunion/2536?_cid=1985,Dès 55 €,4 h,12 ans,Sportif occasionnel,Flexible,"français, anglais",Bureau/atelier VTT à Saint‑Paul (confirmé après réservation),"VTT, casque, gants, navette vers Maïdo, guide",Repas,"Chaussures fermées, eau, encas, coupe‑vent",À l’aise à VTT en descente,Parcours susceptible de changer selon météo,NA,4.8/5,≈90,Panorama cirque de Mafate; grande descente; matos fourni,Atteignez le sommet du Maïdo en navette puis descendez en VTT avec un guide : panoramas sur Mafate et singles ludiques.,Descente VTT du Maïdo | Panoramas de Mafate,descente-vtt-piton-maido-reunion,Découvrez le Maïdo en VTT : navette au sommet puis longue descente encadrée. Matériel fourni et vues spectaculaires sur Mafate et l’ouest de l’île.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/70ce36c3ab025e2b3433ce5a6391dfb3","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/6bdd83191e95e5928997cebb1250a3fe","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/d06ef12276356817ca4b2a0dc5afcc6d"
Canyon de Fleurs Jaunes au cirque de Cilaos (La Réunion),Eau,Canyoning,Île de la Réunion,Cirque de Cilaos,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/cirque-de-cilaos/canyoning/canyon-de-fleurs-jaunes-au-cirque-de-cilaos-la-reunion/3007?_cid=1985,Dès 85 €,5 h,12 ans,Sportif,Flexible,"français, anglais","Parking du sentier de Fleurs Jaunes, Cilaos","Combinaison, casque, baudrier, descendeur, encadrement","Transport, repas","Chaussures de canyon, eau, encas, protections solaires","Savoir nager, être à l’aise avec le vide",Sauts non obligatoires; rappels jusqu’à ~18 m,NA,4.9/5,≈160,Rappels spectaculaires; vasques claires; paysages de Cilaos,"Un grand classique de La Réunion : rappels, toboggans et sauts dans un canyon encaissé au cœur de Cilaos.",Canyoning Fleurs Jaunes à Cilaos | Incontournable,canyoning-fleurs-jaunes-cilaos-reunion,"Parcourez le mythique canyon de Fleurs Jaunes à Cilaos : rappels, toboggans et sauts dans des vasques limpides. Encadrement professionnel, équipement fourni.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/7b436e55c19e55e8da578f8e14c101d1","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/d647cf0df953746c4b695b4f84787815","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/b84129ade46c8915eb3886ff95eb6958"
Baptême parapente tandem au‑dessus de la baie de Saint‑Leu,Air,Parapente,Île de la Réunion,Baie de Saint‑Leu,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/baie-de-saint-leu/parapente/bapteme-parapente-tandem-au-dessus-de-la-baie-de-saint-leu-la-reunion/1522?_cid=1985,Dès 85 €,20 à 30 min (activité 1 h),5 ans,Accessible à tous,Flexible,"français, anglais",Parking du parapente à Saint‑Leu (Kélonia/atterrissage),"Équipement complet de parapente, encadrement",Photos/vidéos,"Chaussures fermées, coupe‑vent, lunettes de soleil",Poids < 100 kg (selon offre),Vols selon conditions aérologiques,Addict Parapente,4.8/5,297,Vue sur le lagon; moniteurs pros; décollage/atterrissage en douceur,Survolez le lagon de Saint‑Leu en parapente biplace avec un moniteur diplômé. Vols découverte accessibles dès 5 ans.,Parapente à Saint‑Leu : vol biplace au‑dessus du lagon,parapente-biplace-saint-leu-lagon-reunion,"Offrez‑vous un baptême de parapente à Saint‑Leu : 20–30 min de vol au‑dessus du lagon avec moniteur. Accessible à tous, vue incroyable sur l’ouest de l’île.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/89e7ed7a7fa32ba85d19d4a806b90a8b","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/1356465229100e11ba28010b5722a3f9","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/375eadea05e348af3f48a16c3c9d160b"
Balade en kayak transparent dans le lagon de Saint‑Gilles,Eau,Kayak de mer,Île de la Réunion,Lagon de Saint‑Gilles,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/lagon-de-saint-gilles/kayak-de-mer/balade-en-kayak-transparent-dans-le-lagon-de-saint-gilles-la-reunion/5387?_cid=1985,Dès 50 €,2 h,5 ans,Accessible à tous,Flexible,"français, anglais","Lagon Réunion – plage de Trou d’Eau, La Saline‑les‑Bains","Kayak transparent, gilets, briefing, guide",Photos,"Maillot, serviette, eau, crème solaire, chapeau",Savoir nager,Sortie non recommandée aux femmes enceintes,Lagon Réunion,4.8/5,75,Embarcation transparente; lagon protégé; guide naturaliste,Découvrez la faune du lagon de Saint‑Gilles à bord d’un kayak transparent lors d’une balade guidée de 2 heures.,Kayak transparent dans le lagon de Saint‑Gilles | La Réunion,kayak-transparent-lagon-saint-gilles-reunion,Balade de 2 h en kayak transparent à Saint‑Gilles. Idéal en famille pour observer poissons et coraux dans le lagon. Encadrement et matériel inclus.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/f75c4075ec30ab25cfcd0917321e7b04","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/f75c4075ec30ab25cfcd0917321e7b04","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/023fb98913454b6a4523d1dc6ee743fc"
Descente en rafting sur la rivière des Marsouins (La Réunion),Eau,Rafting,Île de la Réunion,"Rivière des Marsouins, Saint‑Benoît",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-des-marsouins-saint-benoit/rafting/descente-en-rafting-sur-la-riviere-des-marsouins-a-la-reunion/2919?_cid=1985,Dès 50 €,3 h,8 ans,Accessible à tous,Flexible,"français, anglais",Base de rafting à Saint‑Benoît (précisée après réservation),"Raft, casque, gilet, combinaison, encadrement","Photos, transport","Maillot, serviette, chaussures d’eau, eau/encas",Savoir nager,Parcours variable selon niveau d’eau,NA,4.7/5,≈60,Rapides ludiques; cadre verdoyant; activité famille,"Descente de 3 h sur la rivière des Marsouins avec équipement fourni et guide, accessible dès 8 ans.",Rafting rivière des Marsouins à Saint‑Benoît | La Réunion,rafting-riviere-des-marsouins-saint-benoit-reunion,Vivez la rivière des Marsouins en rafting : 3 h de descente encadrée avec équipement fourni. Parcours modulé selon le débit. Idéal en famille ou entre amis.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/36f250225623129912fe157db267b324","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/4c20996b8dbb134e5ba79c1528dd5513","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/7ea0741acc8136809a1d8435666ee88b"
Survol de l’île de La Réunion en hélicoptère depuis Saint-Pierre,Air,Hélicoptère,Île de la Réunion,Saint-Pierre,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/saint-pierre/helicoptere/survol-de-lile-de-la-reunion-en-helicoptere-depuis-saint-pierre/9653?_cid=1985,Dès 345 €,55 min (activité 1 h 30),2 ans,Accessible à tous,Flexible,"français, anglais",Aéroport de Saint-Pierre/Pierrefonds,"Diplôme de vol, café/thé avant vol",Photos/vidéos,"Veste légère, lunettes de soleil, appareil photo",Arriver 30 min avant; minimum 4 passagers pour vol partagé,Enfants ≥ 2 ans sur siège individuel,Mafate Hélicoptères,4.9/5,152,Survol complet; cirques et volcans; commentaires du pilote,"Vol panoramique de 55 minutes au départ de Saint‑Pierre pour admirer cirques, cascades et volcans de La Réunion, avec pilote commentateur.",Hélicoptère à La Réunion : survol complet depuis Saint‑Pierre,helicoptere-survol-complet-saint-pierre-reunion,"Survolez La Réunion en hélicoptère depuis Saint‑Pierre : 55 minutes au‑dessus des cirques, cascades et du Piton de la Fournaise. Vol commenté, annulation flexible.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/0eb226b5206fa9560333d4226049d928","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/54fc6761b28a31917138a7202fa43940","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_640,q_auto/d0dfcba1c83c37a8ebd7d08e4a36a46a"
Spéléologie dans les tunnels de lave du Piton de la Fournaise (La Réunion),Terre,Spéléologie,Île de la Réunion,Piton de la Fournaise,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/piton-de-la-fournaise/speleologie/speleologie-dans-les-tunnels-de-lave-du-volcan-du-piton-de-la-fournaise-la-reunion/11722?_cid=1985,Dès 45 €,De 1 h à 6 h,6 ans,Sportif occasionnel,Intermédiaire,"français, anglais","Parking route du Volcan, à proximité du Pas de Bellecombe (selon confirmation du guide)","Casque avec lampe frontale, gants, encadrement par guide spéléo","Transport jusqu’au point de RDV, repas","Pantalon long, manches longues, chaussures fermées, eau et en-cas","Bonne condition physique, ne pas être claustrophobe",Itinéraire adapté selon conditions météo/fermeture de l’enclos,NA,4.9/5,≈250,Tunnels de lave; paysages lunaires; encadrement professionnel,"Explorez les tunnels de lave du Piton de la Fournaise avec un guide spéléo : itinéraires de 1h à 6h adaptés au niveau, équipement fourni et découverte unique du volcan.",Spéléologie dans les tunnels de lave du Piton de la Fournaise | La Réunion,speleo-tunnels-lave-piton-fournaise-reunion,"Partez en spéléologie dans les tunnels de lave du Piton de la Fournaise. Parcours de 1 à 6h, encadrement pro et équipement fourni. Une expérience volcanique unique à La Réunion.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/1d1da5f1264cad6390d75c69ac46dca1","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/bc13b97507b7f1687f94079bb0023c64","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/56ecf73fef7544243167b6b63c698e4d"
Canyoning dans la rivière Langevin à Saint‑Joseph (La Réunion),Eau,Canyoning,Île de la Réunion,"Rivière Langevin, Saint‑Joseph",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-langevin-saint-joseph/canyoning/canyoning-dans-la-riviere-langevin-a-saint-joseph-la-reunion/3003?_cid=1985,Dès 65 €,3 h,8 ans,Sportif occasionnel,Flexible,"français, anglais",Parking du site Langevin (suivi des indications transmises après réservation),"Combinaison, casque, baudrier, encadrement, photos","Transport, repas","Maillot, serviette, chaussures fermées, eau, encas","Savoir nager, ne pas craindre sauts et toboggans",Parcours modulable selon niveau et météo,NA,4.9/5,≈190,Cascades et bassins; sauts et toboggans naturels; cadre tropical,"Descente ludique de la rivière Langevin avec sauts (non obligatoires), rappels et toboggans, idéale pour une première en canyoning à La Réunion.",Canyoning rivière Langevin à Saint‑Joseph | La Réunion,canyoning-riviere-langevin-saint-joseph-reunion,"Initiez‑vous au canyoning dans la rivière Langevin : cascades, toboggans naturels et rappels au cœur d’une végétation luxuriante. Encadrement pro, équipement fourni.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/c3ea564cb8d96b602cfce585e08a7ad2","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/c3ea564cb8d96b602cfce585e08a7ad2","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/83aed1de0338675b0921390dbeea6b47"
